Ticker,Name,CUSIP,URL,FundCategory,FundSubCategory,ActiveOrPassive,Sector,Geography,Asset Class,Last Close Price,One Month Return,Standard Deviation (annual),Risk Score,Style,Controversy,Environmental,Governance,Social,Sustainability,Has Tobacco,Has Alcohol,Has Gambling,Has Military,Has Fossil Fuels,Benchmark - Conservative (income-focused),Benchmark - Moderate,Benchmark - Balanced,Benchmark - Growth,Benchmark - Aggressive Growth,Benchmark - Most Aggressive Growth
FBCVX,Fidelity Blue Chip Value Fund ,316389857,https://fundresearch.fidelity.com/mutual-funds/summary/316389857,DomesticEquities,LargeValue,Active,Diversified,Domestic,Equity,18.76,0.0252,0.1082,6,Large Value,Average,High,Low,Average,Average,0,0,1,0,0,0,0,0,0,0,0
FLVEX,Fidelity Large-Cap Value Enhanced Fund ,31606X209,https://fundresearch.fidelity.com/mutual-funds/summary/31606X209,DomesticEquities,LargeValue,Active,Diversified,Domestic,Equity,12.47,0.0148,0.1073,6,Large Value,Low,Average,Low,Average,Low,1,1,0,1,0,0,0,0,0.1,0.15,0.1
FVDFX,Fidelity Value Discovery Fund ,316345503,https://fundresearch.fidelity.com/mutual-funds/summary/316345503,DomesticEquities,LargeValue,Active,Diversified,Domestic,Equity,27.92,0.0216,0.0998,6,Large Value,Low,High,High,Low,Low,1,0,0,1,0,0,0,0,0,0.1,0.1
FLPSX,Fidelity Low-Priced Stock Fund ,316345305,https://fundresearch.fidelity.com/mutual-funds/summary/316345305,DomesticEquities,SmallMidValue,Active,Diversified,Domestic,Equity,54.09,0.0062,0.0922,6,Medium Value,Low,High,High,High,High,1,1,0,0,1,0,0,0,0,0,0
FSMVX,Fidelity Mid-Cap Value Fund ,316128701,https://fundresearch.fidelity.com/mutual-funds/summary/316128701,DomesticEquities,SmallMidValue,Active,Diversified,Domestic,Equity,26.51,0.012,0.1107,7,Medium Value,High,High,Average,Average,Low,0,0,0,1,0,0,0,0,0,0,0
FDVLX,Fidelity Value Fund ,316464106,https://fundresearch.fidelity.com/mutual-funds/summary/316464106,DomesticEquities,SmallMidValue,Active,Diversified,Domestic,Equity,120.14,0.0007,0.1218,7,Medium Value,Low,Average,Average,Average,High,0,0,0,1,0,0,0,0,0,0,0
FCPVX,Fidelity Small-Cap Value Fund ,316389832,https://fundresearch.fidelity.com/mutual-funds/summary/316389832,DomesticEquities,SmallMidValue,Active,Diversified,Domestic,Equity,19.53,0.0293,0.1215,7,Small Value,High,High,Average,High,Average,0,1,1,1,1,0,0,0,0,0,0
FEQTX,Fidelity Equity Dividend Income Fund ,316145101,https://fundresearch.fidelity.com/mutual-funds/summary/316145101,DomesticEquities,IncomeOriented,Active,Diversified,Domestic,Equity,27.98,0.0123,0.0977,6,Large Value,High,High,High,High,Average,1,0,0,0,0,0.15,0,0,0,0,0
FEQIX,Fidelity Equity-Income Fund ,316138106,https://fundresearch.fidelity.com/mutual-funds/summary/316138106,DomesticEquities,IncomeOriented,Active,Diversified,Domestic,Equity,59.47,0.0113,0.1002,6,Large Value,Average,Low,Average,Low,High,1,0,1,0,0,0,0,0,0,0,0
FGRIX,Fidelity Growth & Income Portfolio Fund ,316389204,https://fundresearch.fidelity.com/mutual-funds/summary/316389204,DomesticEquities,IncomeOriented,Active,Diversified,Domestic,Equity,35.15,0.0167,0.1176,7,Large Blend,Low,Low,Low,Average,Average,1,1,1,0,1,0,0.15,0,0,0,0
